Chapitre,Épisodes
1,"Episode 279, Episode 4, Episode 504, Episode 878, Episode of East Blue"
2,Episode 1
3,"Episode 2, Episode of East Blue"
4,"Episode 2, Episode of East Blue"
5,"Episode 19, Episode 2, Episode 3, Episode of East Blue"
6,"Episode 3, Episode of East Blue"
7,"Episode 3, Episode of East Blue"
8,"Episode 4, Episode 5, Episode of East Blue"
9,Episode 5
10,Episode 5
11,"Episode 5, Episode 6"
12,Episode 6
13,Episode 6
14,Episode 6
15,"Episode 6, Episode 7"
16,Episode 7
17,Episode 7
18,Episode 7
19,Episode 8
20,Episode 8
21,Episode 8
22,Episode 18
23,"Episode 9, Episode of East Blue"
24,"Episode 10, Episode 9, Episode of East Blue"
25,"Episode 10, Episode 9, Episode of East Blue"
26,"Episode 10, Episode 11, Episode of East Blue"
27,"Episode 11, Episode of East Blue"
28,"Episode 12, Episode of East Blue"
29,"Episode 12, Episode of East Blue"
30,"Episode 12, Episode 13, Episode of East Blue"
31,Episode 13
32,"Episode 13, Episode of East Blue"
33,"Episode 14, Episode of East Blue"
34,"Episode 14, Episode of East Blue"
35,"Episode 15, Episode of East Blue"
36,"Episode 15, Episode of East Blue"
37,"Episode 15, Episode of East Blue"
38,"Episode 16, Episode of East Blue"
39,"Episode 16, Episode 17, Episode of East Blue"
40,"Episode 17, Episode of East Blue"
41,"Episode 17, Episode of East Blue"
42,"Episode 18, Episode 19, Episode 20"
43,Episode 20
44,"Episode 21, Episode of East Blue"
45,"Episode 21, Episode of East Blue"
46,"Episode 22, Episode of East Blue"
47,"Episode 22, Episode of East Blue"
48,"Episode 23, Episode of East Blue"
49,"Episode 23, Episode of East Blue"
50,"Episode 24, Episode 29, Episode of East Blue"
51,"Episode 24, Episode of East Blue"
52,"Episode 24, Episode of East Blue"
53,Episode 25
54,"Episode 25, Episode of East Blue"
55,"Episode 25, Episode of East Blue"
56,"Episode 26, Episode of East Blue"
57,"Episode 26, Episode of East Blue"
58,"Episode 26, Episode of East Blue"
59,"Episode 26, Episode 27, Episode of East Blue"
