	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
0	ロビン解放！ルフィ対ルッチ頂上決戦	Robin Kaihō! Rufi tai Rucchi chōjō kessen	Robin's Liberation! Luffy vs. Lucci: Peak of the Decisive Battle	古賀直樹 - Koga Naoki	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	小林ゆかり - Yukari Kobayashi ::: 鈴木伸一 - Shinichi Suzuki	清水明 - Akira Shimizu	420 p.6-19 ::: 421 p.2	Episode 302
1	トナカイは青っ鼻！チョッパーの秘密	Tonakai wa Aoppana! Choppā no Himitsu!	The Blue-Nosed Reindeer! Chopper's Secret	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato	久田和也 - Kazuya Hisada	西尾大介 - Daisuke Nishio	139 (pp. 12-19) ::: 140 (pp. 3-18)	Episode 84
2	砂漠の海賊団登場！自由に生きる男達	Sabaku no kaizokudan tōjō! Jiyū ni ikiru otokotachi	Here Come the Desert Pirates! The Men Who Live Free	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	高木雅之 - Masayuki Takagi	西尾大介 - Daisuke Nishio	Chapter 162 (p. 15-16) ::: 	Episode 98
3	逆転大脱出への鍵！ドルドルボール！	Gyakuden dai dasshutsu e no kagi! Dorudoru Bōru!	The Key to Turning the Tide and a Great Escape! Doru Doru Ball!	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato	高木雅之 - Masayuki Takagi	西尾大介 - Daisuke Nishio	Chapter 175 (p. 2-19) ::: Chapter 176 (p. 2-14) ::: 	Episode 109
4	始まりはあの日！ビビが語る冒険譚	Hajimaru wa ano hi! Bibi ga kataru bōkendan	Everything Began That Day! Vivi Tells of her Adventures!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	久田和也 - Kazuya Hisada	西尾大介 - Daisuke Nishio	Chapter 215 (p. 2-19) ::: Chapter 216 (p. 2-19) ::: 	Episode 129
5	ワノ国! 桜舞うサムライの国へ	Wano Kuni! Sakura Mau Samurai no Kuni e	Wano Country! To the Land of Samurai where Cherry Blossoms Flutter	米村正二 - Shōji Yonemura	本間禎章 - Sadaaki Honma ::: 飯野敏典 - Toshinori Īno	松田翠 - Midori Matsuda	長峯達也 - Tatsuya Nagamine	Chapter 909 (p. 8-17) ::: 	Episode 892
6	お玉登場 ルフィVSカイドウ軍!	O-Tama Tōjō - Rufi tai Kaidō-gun!	O-Tama Appears - Luffy vs. Kaidou's Army!	冨岡淳広 - Atsuhiro Tomioka	本間禎章 - Sadaaki Honma ::: 田中里緑 - Midori Tanaka	伊藤修一 - Shūichi Itō	暮田公平 - Kōhei Kureta	Chapter 910 (p. 16-17) ::: 	Episode 893
7	必ず来る ワノ国のエース伝説!	Kanarazu Kuru - Wano Kuni no Ēsu Densetsu!	He'll Come - The Legend of Ace in Wano Country!	田中仁 - Hitoshi Tanaka	本間禎章 - Sadaaki Honma ::: 黄国威 - Guo Wei Huang	五十内裕輔 - Yūsuke Isōchi ::: 中谷友紀子 - Yukiko Nakatani	小牧文 - Aya Komaki	Chapter 911 (p. 12-19) ::: 	Episode 894
8	相撲決戦 麦わらVS最強の横綱!	Sumō Kessen - Mugiwara tai Saikyō no Yokozuna!	A Climactic Sumo Battle - Straw Hat vs. the Strongest Ever Yokozuna!	山崎亮 - Ryo Yamazaki	本間禎章 - Sadaaki Honma	伊藤修一 - Shūichi Itō	鈴木裕介 - Yusuke Suzuki	Chapter 916 (p. 6-15) ::: 	Episode 903
9	任侠伝! ゾロとトの康二人旅!	Ninkyō Den! Zoro to Tonoyasu Futari-tabi!	A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!	山崎亮 - Ryo Yamazaki	本間禎章 - Sadaaki Honma	高木雅之 - Masayuki Takagi	鈴木裕介 - Yusuke Suzuki	Chapter 928 (p. 16-17) ::: Chapter 929 (p. 3-12) ::: 	Episode 922
10	修羅場! 怒れる大蛇 将軍オロチ	Shuraba! Ikareru Daija Shōgun Orochi	Pandemonium! The Monster Snake, Shogun Orochi	冨岡淳広 - Atsuhiro Tomioka	大西穣 - Minoru Ōnishi ::: 本間禎章 - Sadaaki Honma	新垣重文 - Shigefumi Shingaki ::: 市川慶一 - Keiichi Ichikawa	伊藤聡伺 - Satoshi Itō	Chapter 932 (p. 9-17) ::: 	Episode 927
11	花散る! ワノ国一の美女の最期	Hana Chiru! Wano Kuni Ichi no Bijo no Saigo	A Flower Falls! The Final Moments of the Most Beautiful Woman in Wano Country	中山智博 - Tomohiro Nakayama	大西穣 - Minoru Ōnishi ::: 本間禎章 - Sadaaki Honma	久田和也 - Kazuya Hisada	所勝美 - Katsumi Tokoro	Chapter 933 (p. 5-17) ::: 	Episode 928
12	仲間達の行方 空島（ウェザリア）リポートと改造動物（サイボーグアニマル）	Nakama-tachi no Yukue - Wezaria Repōto to Saibōgu Animaru	The Crewmates' Whereabouts - Weatheria Report and Cyborg Animals	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	井手武生  - Takeo Ide	小牧文 - Aya Komaki	555 p.1 :::  556 p.1 :::  548 p.1 :::  549 p.1 (Cover Pages)	Episode 453
13	勝者だけが正義 発動! センゴクの作戦!	Shōsha dake ga Seigi - Hatsudō! Sengoku no Sakusen!	Only the Winner is Justice - Put Into Motion! Sengoku's Plan!	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	井手武生  - Takeo Ide	小牧文 - Aya Komaki	556 p.2-17	Episode 465
14	処刑執行命令下る 包囲壁を突破せよ!	Shokei Shikkō Shirei Kudaru - Hōiheki o Toppaseyo!	None	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	井上栄作 - Eisaku Inoue	小牧文 - Aya Komaki	565 p.2-17	Episode 474
